NIM,Nama,Password,Hadir,Izin,Sakit,Alpha,Persentase_Hadir
2310057,Fajar Maulana,pass57,11,2,1,2,68.75
2310058,Rafi Syahputra,pass58,14,0,1,1,87.5
2310059,Rina Lestari,pass59,10,3,1,2,62.5
2310060,Rafi Wibowo,pass60,15,1,0,0,93.75
2310061,Angelica Wibowo,pass61,16,0,0,0,100
2310062,Indah Kusuma,pass62,15,1,0,0,93.75
2310063,Budi Nugroho,pass63,14,1,1,0,87.5
2310064,Tiara Hakim,pass64,13,2,0,1,81.25
2310065,Rizky Saputra,pass65,12,1,2,1,75
2310066,Dimas Nugroho,pass66,16,0,0,0,100
2310067,Iqbal Permana,pass67,11,2,1,2,68.75
2310068,Aldi Siregar,pass68,14,0,1,1,87.5
2310069,Farhan Wijaya,pass69,10,3,1,2,62.5
2310070,Indah Purnama,pass70,15,1,0,0,93.75
2310071,Farhan Putra,pass71,16,0,0,0,100
2310072,Tiara Lestari,pass72,15,1,0,0,93.75
2310073,Rina Pratama,pass73,14,1,1,0,87.5
2310074,Aldi Ramadhan,pass74,13,2,0,1,81.25
2310075,Aldi Syahputra,pass75,12,1,2,1,75
2310076,Reza Lestari,pass76,16,0,0,0,100
2310077,Reza Utami,pass77,11,2,1,2,68.75
2310078,Dimas Maharani,pass78,14,0,1,1,87.5
2310079,Angelica Permana,pass79,10,3,1,2,62.5
2310080,Nadya Pratama,pass80,15,1,0,0,93.75
2310081,Rafi Lestari,pass81,16,0,0,0,100
2310082,Tiara Permana,pass82,15,1,0,0,93.75
2310083,Tiara Ramadhan,pass83,14,1,1,0,87.5
2310084,Iqbal Maharani,pass84,13,2,0,1,81.25
2310085,Iqbal Ananda,pass85,12,1,2,1,75
2310086,Farhan Hidayat,pass86,16,0,0,0,100
2310087,Fajar Kusuma,pass87,11,2,1,2,68.75
2310088,Reza Permana,pass88,14,0,1,1,87.5
2310089,Rina Ananda,pass89,10,3,1,2,62.5
2310090,Ahmad Setiawan,pass90,15,1,0,0,93.75
2310091,Siti Hakim,pass91,16,0,0,0,100
2310092,Ahmad Ramadhan,pass92,15,1,0,0,93.75
2310093,Putri Maharani,pass93,14,1,1,0,87.5
2310094,Budi Saputra,pass94,13,2,0,1,81.25
2310095,Budi Wibowo,pass95,12,1,2,1,75
2310096,Rizky Wijaya,pass96,16,0,0,0,100
2310097,Rafi Hakim,pass97,11,2,1,2,68.75
2310098,Rizky Syahputra,pass98,14,0,1,1,87.5
2310099,Reza Nugroho,pass99,10,3,1,2,62.5
2310100,Fajar Hakim,pass100,15,1,0,0,93.75
2310101,Rina Permana,pass101,16,0,0,0,100
2310102,Aulia Ananda,pass102,15,1,0,0,93.75
2310103,Farhan Siregar,pass103,14,1,1,0,87.5
2310104,Andi Syahputra,pass104,13,2,0,1,81.25
2310105,Reza Hidayat,pass105,12,1,2,1,75
2310106,Yoga Maharani,pass106,16,0,0,0,100
2310107,Indah Kusuma,pass107,11,2,1,2,68.75
2310108,Nadya Ananda,pass108,14,0,1,1,87.5
2310109,Nadya Ramadhan,pass109,10,3,1,2,62.5
2310110,Budi Maulana,pass110,15,1,0,0,93.75
2310111,Rizky Utami,pass111,16,0,0,0,100
2310112,Ahmad Wibowo,pass112,15,1,0,0,93.75
2310113,Rina Maulana,pass113,14,1,1,0,87.5
2310114,Dewi Maulana,pass114,13,2,0,1,81.25
2310115,Ahmad Wijaya,pass115,12,1,2,1,75
2310116,Yoga Saputra,pass116,16,0,0,0,100
2310117,Budi Wijaya,pass117,11,2,1,2,68.75
2310118,Muhammad Utami,pass118,14,0,1,1,87.5
2310119,Rizky Ananda,pass119,10,3,1,2,62.5
2310120,Budi Lestari,pass120,15,1,0,0,93.75
2310121,Aldi Hakim,pass121,16,0,0,0,100
2310122,Andi Syahputra,pass122,15,1,0,0,93.75
2310123,Fajar Wibowo,pass123,14,1,1,0,87.5
2310124,Dewi Hakim,pass124,13,2,0,1,81.25
2310125,Budi Hakim,pass125,12,1,2,1,75
2310126,Angelica Hidayat,pass126,16,0,0,0,100
2310127,Dimas Ramadhan,pass127,11,2,1,2,68.75
2310128,Aldi Siregar,pass128,14,0,1,1,87.5
2310129,Putri Siregar,pass129,10,3,1,2,62.5
2310130,Angelica Putra,pass130,15,1,0,0,93.75
2310131,Rafi Saputra,pass131,16,0,0,0,100
2310132,Aldi Ramadhan,pass132,15,1,0,0,93.75
2310133,Muhammad Purnama,pass133,14,1,1,0,87.5
2310134,Rafi Utami,pass134,13,2,0,1,81.25
2310135,Dimas Maulana,pass135,12,1,2,1,75
2310136,Andi Hidayat,pass136,16,0,0,0,100
2310137,Rina Putra,pass137,11,2,1,2,68.75
2310138,Fajar Siregar,pass138,14,0,1,1,87.5
2310139,Bagas Lestari,pass139,10,3,1,2,62.5
2310140,Nadya Maulana,pass140,15,1,0,0,93.75
2310141,Rizky Putra,pass141,16,0,0,0,100
2310142,Rina Ramadhan,pass142,15,1,0,0,93.75
2310143,Muhammad Syahputra,pass143,14,1,1,0,87.5
2310144,Ahmad Wijaya,pass144,13,2,0,1,81.25
2310145,Reza Maulana,pass145,12,1,2,1,75
2310146,Bagas Siregar,pass146,16,0,0,0,100
2310147,Aisyah Hakim,pass147,11,2,1,2,68.75
2310148,Andi Purnama,pass148,14,0,1,1,87.5
2310149,Muhammad Permana,pass149,10,3,1,2,62.5
2310150,Indah Pratama,pass150,15,1,0,0,93.75
2310151,Indah Lestari,pass151,16,0,0,0,100
2310152,Nadya Maharani,pass152,15,1,0,0,93.75
2310153,Angelica Syahputra,pass153,14,1,1,0,87.5
2310154,Aldi Hakim,pass154,13,2,0,1,81.25
2310155,Fajar Hidayat,pass155,12,1,2,1,75
2310156,Nabila Hidayat,pass156,16,0,0,0,100
2310157,Muhammad Wibowo,pass157,11,2,1,2,68.75
2310158,Rafi Syahputra,pass158,14,0,1,1,87.5
2310159,Muhammad Utami,pass159,10,3,1,2,62.5
2310160,Muhammad Saputra,pass160,15,1,0,0,93.75
2310161,Dewi Hakim,pass161,16,0,0,0,100
2310162,Tiara Ananda,pass162,15,1,0,0,93.75
2310163,Bagas Saputra,pass163,14,1,1,0,87.5
2310164,Tiara Wijaya,pass164,13,2,0,1,81.25
2310165,Bagas Wijaya,pass165,12,1,2,1,75
2310166,Farhan Wijaya,pass166,16,0,0,0,100
2310167,Aldi Maulana,pass167,11,2,1,2,68.75
2310168,Indah Ramadhan,pass168,14,0,1,1,87.5
2310169,Dewi Maulana,pass169,10,3,1,2,62.5
2310170,Dewi Setiawan,pass170,15,1,0,0,93.75
2310171,Muhammad Setiawan,pass171,16,0,0,0,100
2310172,Rizky Siregar,pass172,15,1,0,0,93.75
2310173,Aldi Wibowo,pass173,14,1,1,0,87.5
2310174,Dewi Ananda,pass174,13,2,0,1,81.25
2310175,Siti Lestari,pass175,12,1,2,1,75
2310176,Andi Utami,pass176,16,0,0,0,100
2310177,Budi Lestari,pass177,11,2,1,2,68.75
2310178,Indah Nugroho,pass178,14,0,1,1,87.5
2310179,Aldi Maharani,pass179,10,3,1,2,62.5
2310180,Nadya Utami,pass180,15,1,0,0,93.75
2310181,Reza Wijaya,pass181,16,0,0,0,100
2310182,Ahmad Putra,pass182,15,1,0,0,93.75
2310183,Farhan Wibowo,pass183,14,1,1,0,87.5
2310184,Dimas Wijaya,pass184,13,2,0,1,81.25
2310185,Rina Hidayat,pass185,12,1,2,1,75
2310186,Tiara Lestari,pass186,16,0,0,0,100
2310187,Fajar Kusuma,pass187,11,2,1,2,68.75
2310188,Rizky Maulana,pass188,14,0,1,1,87.5
2310189,Putri Maharani,pass189,10,3,1,2,62.5
2310190,Bagas Putra,pass190,15,1,0,0,93.75
2310191,Rina Maharani,pass191,16,0,0,0,100
2310192,Farhan Ananda,pass192,15,1,0,0,93.75
2310193,Ahmad Syahputra,pass193,14,1,1,0,87.5
2310194,Nabila Ramadhan,pass194,13,2,0,1,81.25
2310195,Fajar Lestari,pass195,12,1,2,1,75
2310196,Dimas Ramadhan,pass196,16,0,0,0,100
2310197,Rafi Syahputra,pass197,11,2,1,2,68.75
2310198,Fajar Lestari,pass198,14,0,1,1,87.5
2310199,Nabila Setiawan,pass199,10,3,1,2,62.5
2310200,Andi Utami,pass200,15,1,0,0,93.75
2310201,Andi Lestari,pass201,16,0,0,0,100
2310202,Tiara Hakim,pass202,15,1,0,0,93.75
2310203,Aulia Saputra,pass203,14,1,1,0,87.5
2310204,Rizky Siregar,pass204,13,2,0,1,81.25
2310205,Aulia Saputra,pass205,12,1,2,1,75
2310206,Ahmad Utami,pass206,16,0,0,0,100
2310207,Reza Nugroho,pass207,11,2,1,2,68.75
2310208,Iqbal Lestari,pass208,14,0,1,1,87.5
2310209,Bagas Putra,pass209,10,3,1,2,62.5
2310210,Rina Siregar,pass210,15,1,0,0,93.75
2310211,Rina Pratama,pass211,16,0,0,0,100
2310212,Dimas Wijaya,pass212,15,1,0,0,93.75
2310213,Yoga Nugroho,pass213,14,1,1,0,87.5
2310214,Rina Saputra,pass214,13,2,0,1,81.25
2310215,Putri Wibowo,pass215,12,1,2,1,75
2310216,Rina Nugroho,pass216,16,0,0,0,100
2310217,Angelica Nugroho,pass217,11,2,1,2,68.75
2310218,Muhammad Maharani,pass218,14,0,1,1,87.5
2310219,Putri Saputra,pass219,10,3,1,2,62.5
2310220,Putri Hidayat,pass220,15,1,0,0,93.75
2310221,Aldi Maulana,pass221,16,0,0,0,100
2310222,Aldi Ramadhan,pass222,15,1,0,0,93.75
2310223,Putri Syahputra,pass223,14,1,1,0,87.5
2310224,Angelica Setiawan,pass224,13,2,0,1,81.25
2310225,Rafi Nugroho,pass225,12,1,2,1,75
2310226,Budi Permana,pass226,16,0,0,0,100
2310227,Bagas Siregar,pass227,11,2,1,2,68.75
2310228,Ahmad Permana,pass228,14,0,1,1,87.5
2310229,Rafi Utami,pass229,10,3,1,2,62.5
2310230,Angelica Maulana,pass230,15,1,0,0,93.75
2310231,Aulia Permana,pass231,16,0,0,0,100
2310232,Yoga Ramadhan,pass232,15,1,0,0,93.75
2310233,Indah Saputra,pass233,14,1,1,0,87.5
2310234,Aisyah Maulana,pass234,13,2,0,1,81.25
2310235,Andi Putra,pass235,12,1,2,1,75
2310236,Putri Maharani,pass236,16,0,0,0,100
2310237,Budi Maulana,pass237,11,2,1,2,68.75
2310238,Ahmad Hidayat,pass238,14,0,1,1,87.5
2310239,Indah Utami,pass239,10,3,1,2,62.5
2310240,Aulia Wijaya,pass240,15,1,0,0,93.75
2310241,Reza Lestari,pass241,16,0,0,0,100
2310242,Putri Ananda,pass242,15,1,0,0,93.75
2310243,Indah Syahputra,pass243,14,1,1,0,87.5
2310244,Siti Pratama,pass244,13,2,0,1,81.25
2310245,Dimas Lestari,pass245,12,1,2,1,75
2310246,Bagas Wibowo,pass246,16,0,0,0,100
2310247,Aulia Saputra,pass247,11,2,1,2,68.75
2310248,Dimas Setiawan,pass248,14,0,1,1,87.5
2310249,Angelica Kusuma,pass249,10,3,1,2,62.5
2310250,Rafi Utami,pass250,15,1,0,0,93.75
2310251,Angelica Setiawan,pass251,16,0,0,0,100
2310252,Tiara Ramadhan,pass252,15,1,0,0,93.75
2310253,Indah Wibowo,pass253,14,1,1,0,87.5
2310254,Andi Lestari,pass254,13,2,0,1,81.25
2310255,Muhammad Siregar,pass255,12,1,2,1,75
2310256,Ahmad Ananda,pass256,16,0,0,0,100
2310257,Rina Hidayat,pass257,11,2,1,2,68.75
2310258,Putri Siregar,pass258,14,0,1,1,87.5
2310259,Rizky Utami,pass259,10,3,1,2,62.5
2310260,Farhan Utami,pass260,15,1,0,0,93.75
2310261,Aldi Ramadhan,pass261,16,0,0,0,100
2310262,Rafi Maharani,pass262,15,1,0,0,93.75
2310263,Tiara Maharani,pass263,14,1,1,0,87.5
2310264,Aldi Siregar,pass264,13,2,0,1,81.25
2310265,Siti Purnama,pass265,12,1,2,1,75
2310266,Yoga Maharani,pass266,16,0,0,0,100
2310267,Rina Nugroho,pass267,11,2,1,2,68.75
2310268,Andi Siregar,pass268,14,0,1,1,87.5
2310269,Aldi Purnama,pass269,10,3,1,2,62.5
2310270,Aldi Permana,pass270,15,1,0,0,93.75
2310271,Farhan Wibowo,pass271,16,0,0,0,100
2310272,Nabila Purnama,pass272,15,1,0,0,93.75
2310273,Rina Pratama,pass273,14,1,1,0,87.5
2310274,Nabila Maharani,pass274,13,2,0,1,81.25
2310275,Andi Siregar,pass275,12,1,2,1,75
2310276,Dewi Setiawan,pass276,16,0,0,0,100
2310277,Iqbal Utami,pass277,11,2,1,2,68.75
2310278,Nadya Putra,pass278,14,0,1,1,87.5
2310279,Nadya Hidayat,pass279,10,3,1,2,62.5
2310280,Tiara Hakim,pass280,15,1,0,0,93.75
2310281,Rafi Permana,pass281,16,0,0,0,100
2310282,Aldi Wijaya,pass282,15,1,0,0,93.75
2310283,Nabila Ananda,pass283,14,1,1,0,87.5
2310284,Aldi Setiawan,pass284,13,2,0,1,81.25
2310285,Siti Wijaya,pass285,12,1,2,1,75
2310286,Reza Maulana,pass286,16,0,0,0,100
2310287,Aldi Maharani,pass287,11,2,1,2,68.75
2310288,Budi Hidayat,pass288,14,0,1,1,87.5
2310289,Fajar Pratama,pass289,10,3,1,2,62.5
2310290,Muhammad Maulana,pass290,15,1,0,0,93.75
2310291,Aisyah Setiawan,pass291,16,0,0,0,100
2310292,Reza Wijaya,pass292,15,1,0,0,93.75
2310293,Nadya Siregar,pass293,14,1,1,0,87.5
2310294,Iqbal Wibowo,pass294,13,2,0,1,81.25
2310295,Andi Purnama,pass295,12,1,2,1,75
2310296,Aisyah Purnama,pass296,16,0,0,0,100
2310297,Budi Nugroho,pass297,11,2,1,2,68.75
2310298,Iqbal Pratama,pass298,14,0,1,1,87.5
2310299,Reza Ramadhan,pass299,10,3,1,2,62.5
2310300,Reza Siregar,pass300,15,1,0,0,93.75
